id,source,title,question,created_at_ts,closes_at_ts,raw,last_seen_ts
manifold:65CPNNNZs6,manifold,Who will win at hangman #3? [1000M prize],Who will win at hangman #3? [1000M prize],1762587829659.0,1765179780000.0,"{""id"": ""65CPNNNZs6"", ""creatorId"": ""QMF5wTqvWefYwLScsyDnxl4ORdq1"", ""creatorUsername"": ""GastonKessler"", ""creatorName"": ""Gaston Kessler"", ""createdTime"": 1762587829659, ""creatorAvatarUrl"": ""https://lh3.googleusercontent.com/a/ACg8ocJLS-aCC3U5ebLUDvs8zzjKoHIGvM8SGDPz6U2ea5X1=s96-c"", ""closeTime"": 1765179780000, ""question"": ""Who will win at hangman #3? [1000M prize]"", ""slug"": ""who-will-win-at-hangman-3-1000m-pri"", ""url"": ""https://manifold.markets/GastonKessler/who-will-win-at-hangman-3-1000m-pri"", ""totalLiquidity"": 100, ""outcomeType"": ""MULTIPLE_CHOICE"", ""mechanism"": ""cpmm-multi-1"", ""volume"": 0, ""volume24Hours"": 0, ""isResolved"": false, ""uniqueBettorCount"": 0, ""lastUpdatedTime"": 1762620871345}",1762625293
manifold:C82EnSnNEU,manifold,Will Manifold win at hangman #3?,Will Manifold win at hangman #3?,1762587737907.0,1765178940000.0,"{""id"": ""C82EnSnNEU"", ""creatorId"": ""QMF5wTqvWefYwLScsyDnxl4ORdq1"", ""creatorUsername"": ""GastonKessler"", ""creatorName"": ""Gaston Kessler"", ""createdTime"": 1762587737907, ""creatorAvatarUrl"": ""https://lh3.googleusercontent.com/a/ACg8ocJLS-aCC3U5ebLUDvs8zzjKoHIGvM8SGDPz6U2ea5X1=s96-c"", ""closeTime"": 1765178940000, ""question"": ""Will Manifold win at hangman #3?"", ""slug"": ""will-manifold-win-at-hangman-3"", ""url"": ""https://manifold.markets/GastonKessler/will-manifold-win-at-hangman-3"", ""pool"": {""NO"": 1000, ""YES"": 1000}, ""probability"": 0.5, ""p"": 0.5, ""totalLiquidity"": 1000, ""outcomeType"": ""BINARY"", ""mechanism"": ""cpmm-1"", ""volume"": 0, ""volume24Hours"": 0, ""isResolved"": false, ""uniqueBettorCount"": 0, ""lastUpdatedTime"": 1762620832028}",1762625298
manifold:CZQgIgZtqQ,manifold,Manifold plays hangman! #3 [1000M prize],Manifold plays hangman! #3 [1000M prize],1762587701851.0,1765178160000.0,"{""id"": ""CZQgIgZtqQ"", ""creatorId"": ""QMF5wTqvWefYwLScsyDnxl4ORdq1"", ""creatorUsername"": ""GastonKessler"", ""creatorName"": ""Gaston Kessler"", ""createdTime"": 1762587701851, ""creatorAvatarUrl"": ""https://lh3.googleusercontent.com/a/ACg8ocJLS-aCC3U5ebLUDvs8zzjKoHIGvM8SGDPz6U2ea5X1=s96-c"", ""closeTime"": 1765178160000, ""question"": ""Manifold plays hangman! #3 [1000M prize]"", ""slug"": ""manifold-plays-hangman-3-1000m-priz"", ""url"": ""https://manifold.markets/GastonKessler/manifold-plays-hangman-3-1000m-priz"", ""totalLiquidity"": 2600, ""outcomeType"": ""MULTIPLE_CHOICE"", ""mechanism"": ""cpmm-multi-1"", ""volume"": 1477.3398038264127, ""volume24Hours"": 1479.3398038264127, ""isResolved"": false, ""uniqueBettorCount"": 5, ""lastUpdatedTime"": 1762621713669, ""lastBetTime"": 1762617990193}",1762625302
manifold:UgpdUuSRhc,manifold,Which of these cards will be in the winning decklist of RC Antwerp in November 2025?,Which of these cards will be in the winning decklist of RC Antwerp in November 2025?,1762573451901.0,1763942340000.0,"{""id"": ""UgpdUuSRhc"", ""creatorId"": ""DdNmYsHS8abslE7JkyB9uGR2yI63"", ""creatorUsername"": ""ChameLeon"", ""creatorName"": ""ChameLeon"", ""createdTime"": 1762573451901, ""creatorAvatarUrl"": ""https://firebasestorage.googleapis.com/v0/b/mantic-markets.appspot.com/o/user-images%2FChameLeon%2FMQlttCngRr.jpg?alt=media&token=e7569ede-bdc6-4e42-a6ff-8867984e806d"", ""closeTime"": 1763942340000, ""question"": ""Which of these cards will be in the winning decklist of RC Antwerp in November 2025?"", ""slug"": ""which-of-these-cards-will-be-in-the-lAtEEhzdQL"", ""url"": ""https://manifold.markets/ChameLeon/which-of-these-cards-will-be-in-the-lAtEEhzdQL"", ""totalLiquidity"": 200, ""outcomeType"": ""MULTIPLE_CHOICE"", ""mechanism"": ""cpmm-multi-1"", ""volume"": 590, ""volume24Hours"": 590, ""isResolved"": false, ""uniqueBettorCount"": 1, ""lastUpdatedTime"": 1762573517553, ""lastBetTime"": 1762573517553}",1762625307
manifold:92Ol9pZgS6,manifold,Will there be a major US government bailout of a technology company before 2028?,Will there be a major US government bailout of a technology company before 2028?,1762573140287.0,1830297540000.0,"{""id"": ""92Ol9pZgS6"", ""creatorId"": ""Y2b1TJ7nvAR0MqiQ2lLKllwVBXd2"", ""creatorUsername"": ""Quillist"", ""creatorName"": ""Quillist"", ""createdTime"": 1762573140287, ""creatorAvatarUrl"": ""https://firebasestorage.googleapis.com/v0/b/mantic-markets.appspot.com/o/user-images%2FQuillist%2F71-PMuUfV-.png?alt=media&token=93498f74-e646-4500-8091-bddc490f9db7"", ""closeTime"": 1830297540000, ""question"": ""Will there be a major US government bailout of a technology company before 2028?"", ""slug"": ""will-there-be-a-major-us-government"", ""url"": ""https://manifold.markets/Quillist/will-there-be-a-major-us-government"", ""pool"": {""NO"": 577.3502691896254, ""YES"": 1732.050807568878}, ""probability"": 0.2499999999999999, ""p"": 0.5000000000000002, ""totalLiquidity"": 1000, ""outcomeType"": ""BINARY"", ""mechanism"": ""cpmm-1"", ""volume"": 740, ""volume24Hours"": 742.649730810374, ""isResolved"": false, ""uniqueBettorCount"": 9, ""lastUpdatedTime"": 1762618815923, ""lastBetTime"": 1762618815923}",1762625311
manifold:qRAULpgsqc,manifold,At what income level will the marginal tax rate reach 37% in 2030?,At what income level will the marginal tax rate reach 37% in 2030?,1762572956021.0,1924991940000.0,"{""id"": ""qRAULpgsqc"", ""creatorId"": ""Kr23YYpkdnU4JFFqHr2NxEV6PvN2"", ""creatorUsername"": ""jgyou"", ""creatorName"": ""JGY"", ""createdTime"": 1762572956021, ""creatorAvatarUrl"": ""https://firebasestorage.googleapis.com/v0/b/mantic-markets.appspot.com/o/user-images%2FJGY%2Fb852GLZG79.png?alt=media&token=7f17ed16-f3d4-475e-a907-90bdc2aca417"", ""closeTime"": 1924991940000, ""question"": ""At what income level will the marginal tax rate reach 37% in 2030?"", ""slug"": ""at-what-income-level-will-the-margi"", ""url"": ""https://manifold.markets/jgyou/at-what-income-level-will-the-margi"", ""totalLiquidity"": 1100, ""outcomeType"": ""MULTI_NUMERIC"", ""mechanism"": ""cpmm-multi-1"", ""volume"": 623, ""volume24Hours"": 623, ""isResolved"": false, ""uniqueBettorCount"": 3, ""lastUpdatedTime"": 1762598696687, ""lastBetTime"": 1762598696687}",1762625316
manifold:Qus86ZdRcA,manifold,"Will it snow in New York on Saturday, November 8th?","Will it snow in New York on Saturday, November 8th?",1762569777506.0,1762646340000.0,"{""id"": ""Qus86ZdRcA"", ""creatorId"": ""ouFzsAMHFHdYjTp0nhdmMjZ710d2"", ""creatorUsername"": ""JayveerMehta"", ""creatorName"": ""Jayveer Mehta"", ""createdTime"": 1762569777506, ""creatorAvatarUrl"": ""https://lh3.googleusercontent.com/a/ACg8ocJLoG8NJxfq5RUGQNbqN2L3Alfj3DFV_jE6RoIXGwmSP6OVapo=s96-c"", ""closeTime"": 1762646340000, ""question"": ""Will it snow in New York on Saturday, November 8th?"", ""slug"": ""will-it-snow-in-new-york-on-saturda"", ""url"": ""https://manifold.markets/JayveerMehta/will-it-snow-in-new-york-on-saturda"", ""pool"": {""NO"": 10.050378152592089, ""YES"": 994.9874371066193}, ""probability"": 0.009999999999999976, ""p"": 0.5, ""totalLiquidity"": 100, ""outcomeType"": ""BINARY"", ""mechanism"": ""cpmm-1"", ""volume"": 894.9874371066193, ""volume24Hours"": 894.9874371066193, ""isResolved"": false, ""uniqueBettorCount"": 2, ""lastUpdatedTime"": 1762574422795, ""lastBetTime"": 1762574422795}",1762625320
manifold:0q6E65yP8L,manifold,Impact of Shutdown on Thanksgiving Travel,Impact of Shutdown on Thanksgiving Travel,1762566719055.0,1764633540000.0,"{""id"": ""0q6E65yP8L"", ""creatorId"": ""W4yEF6idSMcNWEVUquowziSCZFI3"", ""creatorUsername"": ""EvanDaniel"", ""creatorName"": ""Evan"", ""createdTime"": 1762566719055, ""creatorAvatarUrl"": ""https://lh3.googleusercontent.com/a/AAcHTtcNNBEv2GcorWHiElPC6VlaynzKPlKxwXytwbHWc54FNIs=s96-c"", ""closeTime"": 1764633540000, ""question"": ""Impact of Shutdown on Thanksgiving Travel"", ""slug"": ""impact-of-shutdown-on-thanksgiving"", ""url"": ""https://manifold.markets/EvanDaniel/impact-of-shutdown-on-thanksgiving"", ""totalLiquidity"": 1000, ""outcomeType"": ""MULTIPLE_CHOICE"", ""mechanism"": ""cpmm-multi-1"", ""volume"": 231.0232429047375, ""volume24Hours"": 212.31730324499793, ""isResolved"": false, ""uniqueBettorCount"": 4, ""lastUpdatedTime"": 1762625052455, ""lastBetTime"": 1762625052455}",1762625325
manifold:N8yRzlqRsu,manifold,US commercial flights see ≥10% cancellations week of November 24?,US commercial flights see ≥10% cancellations week of November 24?,1762566504533.0,1764547140000.0,"{""id"": ""N8yRzlqRsu"", ""creatorId"": ""W4yEF6idSMcNWEVUquowziSCZFI3"", ""creatorUsername"": ""EvanDaniel"", ""creatorName"": ""Evan"", ""createdTime"": 1762566504533, ""creatorAvatarUrl"": ""https://lh3.googleusercontent.com/a/AAcHTtcNNBEv2GcorWHiElPC6VlaynzKPlKxwXytwbHWc54FNIs=s96-c"", ""closeTime"": 1764547140000, ""question"": ""US commercial flights see \u226510% cancellations week of November 24?"", ""slug"": ""us-commercial-flights-see-10-cancel-t6psAy96dA"", ""url"": ""https://manifold.markets/EvanDaniel/us-commercial-flights-see-10-cancel-t6psAy96dA"", ""pool"": {""NO"": 856.4724286272982, ""YES"": 1167.5799086757995}, ""probability"": 0.4231473726457517, ""p"": 0.5000000000000002, ""totalLiquidity"": 1000, ""outcomeType"": ""BINARY"", ""mechanism"": ""cpmm-1"", ""volume"": 800, ""volume24Hours"": 800, ""isResolved"": false, ""uniqueBettorCount"": 6, ""lastUpdatedTime"": 1762619560737, ""lastBetTime"": 1762619560737}",1762625329
manifold:95qASQ6cnu,manifold,Did Kim Kardashian Pass the California Bar Exam That She Took In July 2025?,Did Kim Kardashian Pass the California Bar Exam That She Took In July 2025?,1762566268546.0,1765180740000.0,"{""id"": ""95qASQ6cnu"", ""creatorId"": ""C50HqruMlIcaZMEKAi0Lyou9cEw1"", ""creatorUsername"": ""LukeSallmen"", ""creatorName"": ""Luke Sallmen"", ""createdTime"": 1762566268546, ""creatorAvatarUrl"": ""https://lh3.googleusercontent.com/a/AGNmyxZngrUzEj9u6coQTpbak0mknf0xqa5Gu8F826iH=s96-c"", ""closeTime"": 1765180740000, ""question"": ""Did Kim Kardashian Pass the California Bar Exam That She Took In July 2025?"", ""slug"": ""did-kim-kardashian-pass-the-califor"", ""url"": ""https://manifold.markets/LukeSallmen/did-kim-kardashian-pass-the-califor"", ""pool"": {""NO"": 41.666666666666615, ""YES"": 240}, ""probability"": 0.14792899408284033, ""p"": 0.5000000000000004, ""totalLiquidity"": 100, ""outcomeType"": ""BINARY"", ""mechanism"": ""cpmm-1"", ""volume"": 140, ""volume24Hours"": 130, ""isResolved"": false, ""uniqueBettorCount"": 8, ""lastUpdatedTime"": 1762623359336, ""lastBetTime"": 1762623359336}",1762625334
manifold:dI660q6zRU,manifold,"Which will end first, the government shutdown or the Hamas-Israel ceasefire?","Which will end first, the government shutdown or the Hamas-Israel ceasefire?",1762564964917.0,1767225780000.0,"{""id"": ""dI660q6zRU"", ""creatorId"": ""i3o6Z3iVGEU1hJgIvLSIip5qhy12"", ""creatorUsername"": ""Ren_not_wren"", ""creatorName"": ""Ren"", ""createdTime"": 1762564964917, ""creatorAvatarUrl"": ""https://firebasestorage.googleapis.com/v0/b/mantic-markets.appspot.com/o/user-images%2FRen8SQNP%2F5cSlORyl5Z.jpg?alt=media&token=173286ec-1fa5-45c2-98a8-d6f478991a1b"", ""closeTime"": 1767225780000, ""question"": ""Which will end first, the government shutdown or the Hamas-Israel ceasefire?"", ""slug"": ""which-will-end-first-the-government"", ""url"": ""https://manifold.markets/Ren_not_wren/which-will-end-first-the-government"", ""totalLiquidity"": 100, ""outcomeType"": ""MULTIPLE_CHOICE"", ""mechanism"": ""cpmm-multi-1"", ""volume"": 143.52843662306998, ""volume24Hours"": 143.52843662306998, ""isResolved"": false, ""uniqueBettorCount"": 5, ""lastUpdatedTime"": 1762619816300, ""lastBetTime"": 1762619816300}",1762625338
manifold:IpE6UPqZN6,manifold,Will he open the envelope before 2026,Will he open the envelope before 2026,1762562866859.0,1767225540000.0,"{""id"": ""IpE6UPqZN6"", ""creatorId"": ""ZPGnXdRhQaSlLbInTPo1hzC9fle2"", ""creatorUsername"": ""Mmackinac"", ""creatorName"": ""Mmackinac"", ""createdTime"": 1762562866859, ""creatorAvatarUrl"": ""https://lh3.googleusercontent.com/a/ACg8ocIXMUmxAG5_ITPFtQrA2KmzZEP22EJfcztaTE6dslGe_LdH4g=s96-c"", ""closeTime"": 1767225540000, ""question"": ""Will he open the envelope before 2026"", ""slug"": ""will-he-open-the-envelope-before-20"", ""url"": ""https://manifold.markets/Mmackinac/will-he-open-the-envelope-before-20"", ""pool"": {""NO"": 210, ""YES"": 47.619047619047635}, ""probability"": 0.8151571164510165, ""p"": 0.4999999999999999, ""totalLiquidity"": 100, ""outcomeType"": ""BINARY"", ""mechanism"": ""cpmm-1"", ""volume"": 110, ""volume24Hours"": 110, ""isResolved"": false, ""uniqueBettorCount"": 2, ""lastUpdatedTime"": 1762562916036, ""lastBetTime"": 1762562916036}",1762625343
manifold:0yzNECQOQ6,manifold,Which Seattle mayoral race prediction market is more fun?,Which Seattle mayoral race prediction market is more fun?,1762561086111.0,1763247540000.0,"{""id"": ""0yzNECQOQ6"", ""creatorId"": ""nVpk5qqgOVaG0CQDyXyr6X5E0RP2"", ""creatorUsername"": ""MiguelLM"", ""creatorName"": ""Miguel LM\ud83d\udd38"", ""createdTime"": 1762561086111, ""creatorAvatarUrl"": ""https://lh3.googleusercontent.com/a-/ACNPEu8cUYIH4AsxjJrDaLMTjGVqNDB7wYPi2GSieguf3mM=s96-c"", ""closeTime"": 1763247540000, ""question"": ""Which Seattle mayoral race prediction market is more fun?"", ""slug"": ""which-seattle-mayoral-race-is-more"", ""url"": ""https://manifold.markets/MiguelLM/which-seattle-mayoral-race-is-more"", ""outcomeType"": ""POLL"", ""mechanism"": ""none"", ""volume"": 0, ""volume24Hours"": 0, ""isResolved"": false, ""uniqueBettorCount"": 10, ""lastUpdatedTime"": 1762561800004}",1762625347
